Setting	State	Comment
Allow network connectivity during connected-standby (plugged in)	Not configured	No
Turn on the ability for applications to prevent sleep transitions (plugged in)	Not configured	No
Specify the system hibernate timeout (plugged in)	Not configured	No
Require a password when a computer wakes (plugged in)	Not configured	No
Specify the system sleep timeout (plugged in)	Not configured	No
Turn off hybrid sleep (plugged in)	Not configured	No
Allow standby states (S1-S3) when sleeping (plugged in)	Not configured	No
Allow standby states (S1-S3) when sleeping (on battery)	Not configured	No
Allow applications to prevent automatic sleep (plugged in)	Not configured	No
Allow applications to prevent automatic sleep (on battery)	Not configured	No
Allow automatic sleep with Open Network Files (plugged in)	Not configured	No
Allow automatic sleep with Open Network Files (on battery)	Not configured	No
Allow network connectivity during connected-standby (on battery)	Not configured	No
Turn on the ability for applications to prevent sleep transitions (on battery)	Not configured	No
Specify the system hibernate timeout (on battery)	Not configured	No
Require a password when a computer wakes (on battery)	Disabled	No
Specify the system sleep timeout (on battery)	Not configured	No
Turn off hybrid sleep (on battery)	Not configured	No
Specify the unattended sleep timeout (plugged in)	Not configured	No
Specify the unattended sleep timeout (on battery)	Not configured	No
